Lyso name	Whole lyso area	Dark parts area	Light and dark parts area	Light parts only	Volume ratio
	nm^2	nm^2	nm^2	nm^2	
2_00006.jpg	246535	2566	18476	15910	0.01984
2_00008.jpg	278081	28336	96448	68112	0.12152
2_00010.jpg	273063	16323	116631	100308	0.11335
8020 6hr - 2	667640.691	135861.2545	369025.2691	233164.0146	0.2199
8020 6hr - 3	233797	21525	45374	23849	0.08839
8020 6hr - 10	134578	50265	50265	0	0.27657
8020 6hr - 10 - right	173025	65854	5854	0	0.28183
8020 6hr - 11	99556	20396	52822	32426	0.21626
8020 6hr - 14	323616	3910	58658	54748	0.04248
