Lyso name	Whole lyso area	Dark parts area	Light and dark parts area	Light parts only	Volume ratio
	nm^2	nm^2	nm^2	nm^2	
MDA_8020-25h_0002	559936.28764	152438.11379	488235.93864	335797.82485	0.31437
MDA_8020-25h_0078	878299.67854	303966.09899	693196.70284	389230.60385	0.33961
MDA_8020-25h_0077	727143.34759	440478.96965	509146.8223	68667.85265	0.46632
MDA_8020-25h_0073	1.54115E6	107348.99041	403472.70295	296123.71254	0.08771
MDA_8020-25h_0075	690357.58582	109109.82619	419692.06044	310582.23426	0.20164
MDA_8020-25h_0066	788868.54915	179815.11874	585190.56236	405375.44362	0.26543
MDA_8020-25h_0072	885884.05974	148298.23066	578286.66504	429988.43438	0.21524
MDA_8020-25h_0025	252613.99625	82342.61287	169988.66516	87646.05229	0.30662
MDA_8020-25h_0010	599043.86523	127343.45934	401044.0804	273700.62106	0.24334
MDA_8020-25h_0004	563813.83348	106205.73476	352905.72529	246699.99053	0.22177
