Lyso name	Whole lyso area	Dark parts area	Light and dark parts area	Light parts only	Volume ratio
	nm^2	nm^2	nm^2	nm^2	
0013	528969.02027	42133.97914	108473.33054	66339.3514	0.08257
0014	389108.34281	13770.75494	43090.29917	29319.54423	0.04038
0017	378583.2072	48044.05047	128584.5239	80540.47343	0.13398
0018	524842.95565	61155.38168	220994.35669	159838.97501	0.14356
0021_left	377700.54683	20987.41478	45014.6092	24027.19442	0.05311
0021_right	514047.72593	14081.96626	45547.55347	31465.58721	0.0318
0023	554077.39738	81300.12403	214933.58337	133633.45934	0.15401
0025	537484.37697	14613.29062	53587.6941	38974.40348	0.03377
0026	277043.88414	17470.5814	35769.63557	18299.05417	0.05912
0032	378216.82642	60145.37698	153607.63704	93462.26007	0.16423
0039_left	151681.92855	8513.16272	27390.75902	18877.5963	0.06497
0039_right	392247.01792	1577.2514	14439.1995	12861.9481	0.00914
0042	319808.62353	53855.72311	127321.41801	73465.6949	0.1679
