MCF7-mAG-gal3							
							
Control-b	Control-a	TMA  -b	TMA  -a	80:20 -b	80:20 -a	Siramesine -b	Siramesine -a
488	488-638	488	488-638	488	488-638	488	488-638
3	2	1	1	1	10	15	13
0	0	1	1	2	27	12	14
0	2	0	1	3	15	11	15
2	1	0	0	9	29	11	13
0	1	0	1	0	12	10	18
0	0	0	1	2	14	11	10
0	1	3	3	2	35	42	41
0	1	0	6	0	38	13	9
1	1	0	2	0	23	17	15
1	1	0	0	0	13	29	27
1	3	0	8	0	27	17	17
2	3	0	1	2	22	16	16
0	0			2	10	23	20
1	1			1	17	27	29
				0	8	18	16
				0	10	15	13
				0	17	31	31
					9	28	23
					37	38	44
					13	23	16
						42	38
						25	25
						50	44
