 ,Area,Mean,Min,Max,X,Y,XM,YM
1,5.054,255,255,255,12.329,2.473,12.329,2.473
2,6.470,255,255,255,47.100,5.761,47.100,5.761
3,4.448,255,255,255,6.520,7.644,6.520,7.644
4,4.448,255,255,255,27.612,8.809,27.612,8.809
5,4.852,255,255,255,21.227,13.845,21.227,13.845
6,5.661,255,255,255,47.806,13.891,47.806,13.891
7,6.470,255,255,255,7.939,15.344,7.939,15.344
8,6.672,255,255,255,27.803,16.889,27.803,16.889
9,4.448,255,255,255,34.622,20.132,34.622,20.132
10,9.502,255,255,255,21.903,21.501,21.903,21.501
11,7.481,255,255,255,48.956,21.978,48.956,21.978
12,5.257,255,255,255,42.266,23.226,42.266,23.226
13,6.065,255,255,255,8.483,24.670,8.483,24.670
14,5.863,255,255,255,29.064,25.141,29.064,25.141
15,6.065,255,255,255,15.992,26.484,15.992,26.484
16,4.852,255,255,255,35.447,28.252,35.447,28.252
17,5.661,255,255,255,2.248,28.777,2.248,28.777
18,7.885,255,255,255,22.937,29.832,22.937,29.832
19,6.470,255,255,255,49.615,30.295,49.615,30.295
20,10.715,255,255,255,9.515,30.979,9.515,30.979
21,6.470,255,255,255,30.013,32.908,30.013,32.908
22,10.311,255,255,255,16.333,34.900,16.333,34.900
23,9.704,255,255,255,3.831,35.784,3.831,35.784
24,7.885,255,255,255,23.791,37.868,23.791,37.868
25,10.715,255,255,255,10.278,39.250,10.278,39.250
26,8.896,255,255,255,51.065,39.006,51.065,39.006
27,4.246,255,255,255,44.247,39.515,44.247,39.515
28,4.852,255,255,255,30.482,40.599,30.482,40.599
